,0,pid
recall,0.52,01
precision,0.59,01
f1,0.56,01
avg_dist,0.97,01
recall,0.42,02
precision,0.5,02
f1,0.46,02
avg_dist,0.89,02
recall,0.51,03
precision,0.53,03
f1,0.52,03
avg_dist,1.26,03
recall,0.47,04
precision,0.47,04
f1,0.47,04
avg_dist,1.36,04
recall,0.55,05
precision,0.47,05
f1,0.51,05
avg_dist,1.14,05
recall,0.48,06
precision,0.56,06
f1,0.52,06
avg_dist,0.93,06
recall,0.49,07
precision,0.48,07
f1,0.49,07
avg_dist,1.16,07
recall,0.54,08
precision,0.54,08
f1,0.54,08
avg_dist,0.98,08
recall,0.57,09
precision,0.47,09
f1,0.52,09
avg_dist,0.87,09
recall,0.49,10
precision,0.52,10
f1,0.51,10
avg_dist,0.78,10
