plot_id,recall,precision,f1,gt_num,detected_num
1,0.604761904761905,0.616504854368932,0.610576923076923,420,412
2,0.501369863013699,0.554545454545455,0.526618705035971,365,330
3,0.620481927710843,0.515,0.562841530054645,332,400
4,0.685823754789272,0.38494623655914,0.493112947658402,261,465
5,0.764423076923077,0.330561330561331,0.461538461538462,208,481
6,0.631034482758621,0.502747252747253,0.559633027522936,290,364
7,0.598039215686275,0.516949152542373,0.554545454545455,408,472
8,0.56891495601173,0.528610354223433,0.548022598870057,341,367
9,0.529411764705882,0.616751269035533,0.569753810082063,459,394
10,0.492277992277992,0.614457831325301,0.546623794212219,518,415
avg,0.59965389386393,0.518107373590875,0.543326725259713,,
